Id,Category,Sentence
4406,0,"after you laugh once maybe twice , you will have completely forget the movie by the time you get back to your car in the parking lot ."
9909,1,"its impressive image of crematorium chimney fire and stack of dead body be undermine by the movie 's presentation , which be way too stagy ."
1673,4,"with dickens ' word and writer director douglas mcgrath 's even toned direction , rip good yarn be tell ."
837,1,i have't see such self amuse trash since freddy get finger .
9292,1,"judd 's character ought to pick up the durable best seller smart woman , foolish choice for advice ."
6545,4,"a simple tale of an unlikely friendship , but thanks to the gorgeous locale and exceptional lead performance , it have considerable charm ."
3934,0,"to paraphrase line from another dickens ' novel , nicholas nickleby be too much like fragment of an underdone potato ."
9817,3,a funny film .
5720,3,"it 's hard to imagine anybody ever be `` in the mood `` to view movie as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody be able to tear their eye away from the screen once it 's start ."
741,0,the entire film be one big excuse to play one lewd scene after another .
7549,4,"a smart , sassy and exceptionally charming romantic comedy ."
2858,2,"die another day be only intermittently entertain but it 's hard not to be sucker for its charm , or perhaps it 's just impossible not to feel nostalgia for movie you grow up with ."
160,3,"adolescent will be adequately serve by the movie 's sophomoric blend of shenanigan and slapstick , although the more lascivious mind might be disappoint in the relative modesty of movie that sport ` topless tutorial service . '"
277,4,"cuar have create substantive movie out of several cliched movie structure the road movie , the come of age movie , and the teenage sex comedy ."
7408,4,beautifully produce .
7751,1,"it 's hellish , numb experience to watch , and it do't offer any insight that have't be thoroughly debate in the medium already , back in the dahmer heyday of the mid '90s ."
2746,3,"garc bernal and talanc be an immensely appealing couple , and even though their story be predictable , you 'll want thing to work out ."
6457,2,but not whit more .
6129,1,what could have be right at home as nifty plot line in steven soderbergh 's traffic fail to arrive at any satisfying destination .
704,3,"short story quaint , touchingly mend child 's pain for his dead mother via communication with an old woman straight out of eudora welty ."
1900,0,"i be try to decide what annoyed me most about god be great ... 'm not , and then realize that just do't care ."
5836,0,a fifty car pileup of cliche .
794,4,it 's great american adventure and wonderful film to bring to imax .
1359,2,touch !
